code,rank,name,kor_name,up,down,common_rank,efficiency_rank,discription,link
CDLMATCHINGLOW_Bull,7,Matching Low Pattern,동일 저점형,39,61,f-,a-,"특징:
- 첫 번째 캔들은 긴 하락 캔들로 구성됩니다. 두 번째 캔들 역시도 하락 캔들로, 첫 번째 캔들의 종가와 거의 동일한 저점에서 마감됩니다.
발생 이유:
- 하락 추세 중에 동일 저점형 패턴이 나타나면, 이는 매도세가 여전히 존재하지만, 특정 가격 수준에서 매수자들이 저항하고 있음을 나타냅니다.
예상 주가 동향:
- 하락 추세의 끝과 새로운 상승 추세의 시작을 예고하는 신호로 볼 수 있습니다.",
CDLMATCHINGLOW_Bear,7,Matching Low Pattern,동일 저점형,39,61,f-,a-,,
CDLABANDONEDBABY_Bull,8,Bullish Abandoned Baby Pattern,상승고아형 ,70,30,j+,a-,"특징:
-  첫 번째 캔들은 긴 하락 캔들로 구성됩니다. 두 번째 캔들은 작은 십자 캔들(도지 캔들)로 직전 캔들의 종가보다 갭 다운하여 나타납니다. 세 번째 캔들은 긴 상승 캔들로 두 번째 캔들의 종가 위에서 갭 업하여 시작합니다.
발생 이유:
- 매도세가 소진되고 새로운 매수세가 시장에 진입하기 시작했음을 나타냅니다.
예상 주가 동향:
- 하락 추세의 종료와 상승 추세의 시작을 예고하는 강력한 신호로 일반적으로 상승 추세로 전환될 가능성이 높습니다.",
CDLABANDONEDBABY_Bear,8,Bearish Abandoned Baby Pattern,하락고아형,31,69,j,g,"특징:
- 첫 번째 캔들은 긴 상승 캔들로 구성됩니다. 두 번째 캔들은 작은 십자 캔들(도지 캔들)로 직전 캔들의 종가보다 갭 업하여 나타납니다. 세 번째 캔들은 긴 하락 캔들로 두 번째 캔들의 종가 아래서 갭 다운하여 나타납니다.
발생 이유:
- 상승 추세가 끝나가고 매도세가 시장을 지배하기 시작했음을 나타냅니다.
예상 주가 동향:
- 추가적인 하락 추세가 발생할 가능성이 높습니다.",
CDLBREAKAWAY_Bull,10,Bullish Breakaway Pattern,상승탈출형 ,59,41,j,e,"특징:
- 첫 번째 캔들은 긴 하락 캔들로 구성됩니다. 두 번째 캔들은 직전 캔들의 종가보다 갭 다운하여 하락 캔들로 나타납니다. 이후(보통 2~3개의 캔들) 캔들은 작은 하락 또는 상승 캔들로 나타납니다. 마지막 캔들은 긴 상승 캔들로, 이전의 갭을 메우고 첫 번째 캔들의 범위 내로 들어가거나 넘어서 상승하여 나타납니다.
발생 이유:
- 하락 추세 중에 시장의 감정이 변화하기 시작하고, 매수 세력이 점점 강해지기 시작했음을 나타냅니다.
예상 주가 동향:
- 매수자들이 통제권을 잡기 시작했으며, 시장이 하락 추세에서 벗어나 상승 추세로 전환될 수 있음을 시사합니다.",
CDLBREAKAWAY_Bear,10,Bearish Breakaway Pattern,하락탈출형 ,37,63,j-,b+,"특징:
- 첫 번째 캔들은 긴 상승 캔들로 구성됩니다. 두 번째 캔들은 직전 캔들의 종가보다 갭 업하여 상승 캔들로 나타납니다. 이후(보통 2~3개의 캔들) 캔들은 작은  하락 또는 상승 캔들로 나타납니다. 마지막 캔들은 긴 하락 캔들로, 이전의 갭을 메우고 첫 번째 캔들의 범위 내로 들어가거나 넘어서 하락하여 나타납니다.
발생 이유:
- 상승 추세 중에 시장의 감정이 변화하기 시작하고, 매도 세력이 점점 강해지기 시작했음을 나타냅니다.
예상 주가 동향:
- 매도자들이 통제권을 잡기 시작했으며, 시장이 상승 추세에서 벗어나 하락 추세로 전환될 수 있음을 시사합니다.",
CDLMORNINGSTAR_Bull,12,Morning Star Pattern,샛별형,78,22,g,b+,"특징:
- 첫 번째 캔들은 긴 하락 캔들로 구성됩니다. 두 번째 캔들은 첫 번째 캔들 아래에 작은 캔들로 나타납니다. 세 번째 캔들은 긴 상승 캔들로 첫 번째 캔들의 중간점 위에서 마감합니다.
발생 이유:
- 하락 추세가 끝나가고, 매수세가 시장을 지배하기 시작했다는 신호입니다.
예상 주가 동향:
- 매수자들이 통제권을 잡기 시작했으며, 시장이 하락 추세에서 벗어나 상승 추세로 전환될 수 있음을 시사합니다.",
CDLMORNINGSTAR_Bear,12,Morning Star Pattern,샛별형,78,22,g,b+,,
CDLPIERCING_Bull,13,Piercing Line,관통형 패턴,64,36,d-,b+,"특징:
- 첫 번째 캔들은 긴 하락 캔들로 구성됩니다. 첫 번째 캔들의 종가 아래에서 시작하는 상승 캔들로 첫 번째 캔들 몸통의 절반 이상에서 마감합니다.
발생 이유:
- 매도 압력 후에 강력한 매수세가 나타나 하락 추세를 반전시킬 수 있는 힘을 가지고 있음을 보여줍니다.
예상 주가 동향:
- 상승 추세로 반전될 가능성을 시사합니다.",
CDLPIERCING_Bear,13,Piercing Line,관통형 패턴,64,36,d-,b+,"특징:
- 첫 번째 캔들은 긴 하락 캔들로 구성됩니다. 첫 번째 캔들의 종가 아래에서 시작하는 상승 캔들로 첫 번째 캔들 몸통의 절반 이상에서 마감합니다.
발생 이유:
- 매도 압력 후에 강력한 매수세가 나타나 하락 추세를 반전시킬 수 있는 힘을 가지고 있음을 보여줍니다.
예상 주가 동향:
- 상승 추세로 반전될 가능성을 시사합니다.",
CDLSTICKSANDWICH_Bull,14,Bullish Stick Sandwich,상승 막대샌드위치형 패턴,38,62,f-,b,"특징:
- 첫 번째 캔들은 하락 캔들로 구성됩니다. 두 번재 캔들은 상승 캔들로 이전 캔들의 고점 위에서 마감합니다. 세 번째 캔들은 하락 캔들로 첫 번째 캔들의 종가와 유사하거나 동일한 수준에서 마감합니다.
발생 이유:
- 매도 압력이 일시적으로 완화되었으나, 다시 하락 압력이 강해지기 전에 매수자들이 잠깐 힘을 발휘하는 상황을 나타냅니다.
예상 주가 동향:
- 매도세가 일시적으로 강해질 수 있지만, 매수세가 여전히 존재함을 나타내며, 상승 추세로의 전환을 예고할 수 있습니다.",
CDLSTICKSANDWICH_Bear,14,Bearish Stick Sandwich,하락 막대샌드위치형 패턴,62,38,f-,b,"특징:
- 첫 번째 캔들은 상승 캔들로 구성됩니다. 두 번째 캔들은 하락 캔들로 이전 캔들의 저점 아래에서 마감합니다. 세 번째 캔들은 상승 캔들로 첫 번째 캔들의 고점과 유사하거나 동일한 수준에서 마감합니다.
발생 이유:
- 매수 압력이 일시적으로 완화되었으나, 다시 상승 압력이 강해지기 전에 매도자들이 잠깐 힘을 발휘하는 상황을 나타냅니다.
예상 주가 동향:
- 매수세가 일시적으로 강해질 수 있지만, 매도세가 여전히 존재함을 나타내며, 하락 추세로의 전환을 예고할 수 있습니다.",
CDLTHRUSTING_Bull,15,Thrusting Pattern,먹구름형,57,43,f,b,"특징:
- 반대 색상의 캔들 두개가 특징입니다.
발생 이유:
- 하락 추세 또는 상승 추세 중에 발생합니다.
예상 주가 동향:
- 일반적으로 현재 추세의 지속을 나타내는 신호입니다.",
CDLTHRUSTING_Bear,15,Thrusting Pattern,먹구름형,57,43,f,b,"특징:
- 반대 색상의 캔들 두개가 특징입니다.
발생 이유:
- 하락 추세 또는 상승 추세 중에 발생합니다.
예상 주가 동향:
- 일반적으로 현재 추세의 지속을 나타내는 신호입니다.",
CDLINNECK_Bull,17,In Neck,진입형,47,53,g+,b,"특징:
- 첫 번째 캔들은 긴 몸통을 가진 하락 캔들로 구성됩니다. 두 번째 캔들은 작거나 중간 크기의 상승 캔들로 첫 번째 캔들의 저점 근처에서 시작하여 첫 번째 캔들의 종가 근처에서 마감합니다.
발생 이유:
- 매수세가 잠시 나타났다가 다시 매도세가 강화되어 첫 번째 캔들의 저점 근처에서 마감하는 상황을 나타냅니다.
예상 주가 동향:
- 일반적으로 현재의 하락 추세를 계속 따르는 경향이 있습니다.",
CDLINNECK_Bear,17,In Neck,진입형,47,53,g+,b,,
CDL3INSIDE_Bull,20,Three Inside Up,상승잉태확인형,65,35,d+,b-,"특징:
- 첫 번째 캔들은 긴 몸통을 가진 하락 캔들로 구성됩니다. 두 번째 캔들은 첫 번째 캔들의 몸통 내부에서 시작하고 종료하는 작은 상승 캔들입니다. 세 번째 캔들은 두 번째 캔들의 종가보다 높게 시작하여, 첫 번째 캔들의종가 이상으로 마감하는 상승 캔들입니다.
발생 이유:
- 하락 추세에서 매수세가 서서히 증가하고 있음을 나타냅니다.
예상 주가 동향:
- 일반적으로 상승 추세를 시작할 가능성이 높습니다.",
CDL3INSIDE_Bear,56,Three Inside Down,하락잉태확인형 ,40,60,d+,f,"특징:
- 첫 번째 캔들은 긴 몸통을 가진 상승 캔들로 구성됩니다. 두 번째 캔들은 첫 번째 캔들의 몸통 내부에서 시작하고 종료하는 작은 하락 캔들입니다. 세 번째 캔들은 두 번째 캔들의 종가보다 낮게 시작하여, 첫 번째 캔들의 종가 이하로 마감하는 하락 캔들입니다.
발생 이유:
- 상승 추세에서 매도세가 서서히 증가하고 있음을 나타냅니다.
예상 주가 동향:
- 일반적으로 하락 추세를 시작할 가능성이 높습니다.",
CDLHOMINGPIGEON_Bull,21,Homing Pigeon,전서구형,44,56,d,c+,"특징:
- 첫 번째 캔들은 긴 몸통을 가진 하락 캔들로 구성됩니다. 두 번째 캔들은 첫 번째 캔들의 몸통 내부에서 시작하고 종료하는 하락 캔들이며, 몸통의 길이는 첫 번째 캔들보다 짧습니다.
발생 이유:
- 하락 추세 중에 매도 압력이 점점 감소하고 있음을 나타냅니다.
예상 주가 동향:
- 시장이 안정을 찾거나 상승 추세로 반전할 가능성이 있습니다.",
CDLHOMINGPIGEON_Bear,21,Homing Pigeon,전서구형,44,56,d,c+,,
CDLDARKCLOUDCOVER_Bull,22,Dark Cloud Cover,먹구름형 패턴,40,60,e,c+,"특징:
- 첫 번째 캔들은 긴 몸통을 가진 상승 캔들로 구성됩니다. 두 번째 캔들은 첫 번째 캔들의 종가보다 높게 시작하지만, 첫 번째 캔들의 몸통을 절반 이상 뚫고 내려가 종가가 설정되는 하락 캔들입니다.
발생 이유:
- 매수세가 소진되고 매도세가 증가하기 시작했음을 나타냅니다.
예상 주가 동향:
- 일반적으로 하락 추세로 반전할 가능성이 높습니다.",
CDLDARKCLOUDCOVER_Bear,22,Dark Cloud Cover,먹구름형 패턴,40,60,e,c+,,
CDLIDENTICAL3CROWS_Bull,24,Identical Three Crows,동일흑삼병,21,79,i+,c,"특징:
- 세 개의 연속된 긴 몸통의 하락 캔들로 구성됩니다. 각 캔들은 거의 동일한 크기의 몸통을 가지며, 이전 캔들의 종가 근처에서 시작합니다.
발생 이유:
- 상승 추세 후 시장에서 매도세가 점차 강해지고 있음을 나타냅니다.
예상 주가 동향:
- 시장에서 추가적인 하락할 가능성이 높습니다.",
CDLIDENTICAL3CROWS_Bear,24,Identical Three Crows,동일흑삼병,21,79,i+,c,,
CDLMORNINGDOJISTAR_Bull,25,Morning Doji Star,십자 샛별형,60,40,a+,b,"특징:
- 첫 번째 캔들은 긴 몸통을 가진 하락 캔들로 구성됩니다. 두 번째 캔들은 도지 캔들(십자 캔들)로 첫 번째 캔들의 저점 아래에서 시작하지만 큰 가격 변동없이 종가가 시가와 거의 동일하게 마감합니다. 세 번째 캔들은 긴 몸통을 가진 상승 캔들로 첫 번째 캔들의 중간점 위에서 종가가 형성됩니다.
발생 이유:
- 하락 추세에서 매도세가 소진되고, 시장의 균형이 매수 쪽으로 기울기 시작했음을 나타냅니다.
예상 주가 동향:
- 일반적으로 상승 추세를 시작할 가능성이 높습니다.",
CDLMORNINGDOJISTAR_Bear,25,Morning Doji Star,십자 샛별형,60,40,a+,b,,
CDLXSIDEGAP3METHODS_Bull,27,Upside Gap Three Methods,상승갭삼법,41,59,i,c,"특징:
- 첫 번째 캔들은 긴 상승 캔들로 구성됩니다. 두 번째 캔들은 첫 번째 캔들보다 높은 가격에서 시작하는 상승 갭이 있는 작은 상승 캔들입니다. 세 번째 캔들은 첫 번째 캔들의 몸통에서 종가를 형성하는 하락 캔들입니다.
발생 이유:
- 상승 추세 중에 발생하며, 매수세가 여전히 강력하고 추세가 지속될 것임을 나타냅니다.
예상 주가 동향:
- 상승 추세 중에 나타나는 강력한 지속 신호로, 추가적인 상승을 예상할 수 있게 합니다.",
CDLXSIDEGAP3METHODS_Bear,26,Downside Gap Three Methods,하락갭삼법,62,38,i,c,"특징:
- 첫 번째 캔들은 긴 하락 캔들로 구성됩니다. 두 번째 캔들은 첫 번째 캔들보다 낮은 가격에서 시작하는 하락 갭이 있는 작은 하락 캔들입니다. 세 번째 캔들은 첫 번째 캔들의 몸통에서 종가를 형성하는 상승 캔들입니다.
발생 이유:
- 하락 추세 중에 발생하며, 매도세가 여전히 강력하고 추세가 지속될 것임을 나타냅니다.
예상 주가 동향:
- 하락 추세 중에 나타나는 강력한 지속 신호로, 추가적인 하락을 예상할 수 있게 합니다.",
CDLTRISTAR_Bull,28,Bullish Tristar Pattern,상승 세 십자형,70,30,g,a+,"특징:
- 첫 번째 캔들은 하락 도지 캔들로 구성됩니다. 두 번재 캔들은 첫 번째 캔들의 종가 아래에서 하락 갭이 있는 하락 도지 캔들입니다. 세 번째 캔들은 첫 번째와 두 번째 도지 캔들 사이의 가격 범위내에 위치하는 상승 도지 캔들입니다.
발생 이유:
- 하락 추세의 소진과 상승 추세로의 반전 가능성을 암시합니다.
예상 주가 동향:
- 하락 추세가 끝나가는 시점에서 나타나며, 상승 추세로의 전환을 예고합니다.",
CDLTRISTAR_Bear,76,Bearish Tristar Pattern,상승 세 십자형,30,70,g,a+,"특징:
- 첫 번째 캔들은 상승 도지 캔들로 구성됩니다. 두 번째 캔들은 첫 번째 캔들의 종가 위에서 상승 갭이 있는 상승 도지 캔들입니다. 세 번째 캔들은 첫 번째와 두 번째 도지 캔들 사이의 가격 범위내에 위치하는 하락 도지 캔들입니다.
발생 이유:
- 상승 추세의 소진과 하락 추세로의 반전 가능성을 암시합니다.
예상 주가 동향:
- 상승 추세가 끝나가는 시점에서 나타나며, 하락 추세로의 전환을 예고합니다.",
CDLGAPSIDESIDEWHITE_Bull,46,Bullish Side-by-Side White Lines,상승 나란히형,66,34,h+,e,"특징:
- 첫 번째 캔들은 상승 캔들로 구성됩니다. 두 번째 캔들은 첫 번째 캔들보다 높은 가격에서 시작하여 상승 갭이 있는 상승 캔들입니다. 세 번째 캔들은 두 번째 캔들과 동일한 가격 레벨에서 시작하며, 비슷한 크기의 캔들로 구성되어 있습니다.
발생 이유:
- 상승 추세의 강력한 지속성을 나타냅니다.
예상 주가 동향:
- 상승 추세의 지속이 예상됩니다.",
CDLGAPSIDESIDEWHITE_Bear,29,Bearish Side-by-Side White Lines,하락 나란히형,44,56,g,c-,"특징:
- 첫 번째 캔들은 하락 캔들로 구성됩니다. 두 번재 캔들은 첫 번째 캔들보다 낮은 가격에서 시작하여 하락 갭이 있는 상승 캔들입니다. 세 번째 캔들은 두 번째 캔들과 동일한 가격 레벨에서 시작하며, 비슷한 크기의 상승 캔들로 구성되어 있습니다.
발생 이유:
- 하락 추세 중에 나타나는 갭 다운과 이어지는 상승 캔들은 전체적인 추세에 대한 일시적인 반대 움직임을 나타낼 수 있지만, 하락 추세의 지속 가능성을 강조합니다.
예상 주가 동향:
- 하락 추세의 지속이 예상됩니다.",
CDLEVENINGDOJISTAR_Bull,30,Evening Doji Star,십자석별형,60,40,g,d,"특징:
- 첫 번째 캔들은 긴 몸통을 가진 상승 캔들로 구성됩니다. 두 번째 캔들은 첫 번째 캔들의 종가 위에서 열리는 도지 캔들입니다. 세 번째 캔들은 두 번째 캔들의 시가 아래에서 시작하는 긴 하락 캔들로 첫 번째 캔들의 중간점 아래에서 마감합니다.
발생 이유:
- 시장의 불확실성과 매도 압력의 증가를 나타냅니다.
예상 주가 동향:
- 하락 추세로 반전할 가능성이 높습니다.",
CDLEVENINGDOJISTAR_Bear,30,Evening Doji Star,십자석별형,60,40,g,d,,
CDL3WHITESOLDIERS_Bull,32,Three White Soldiers,적삼병 ,82,18,g,d+,"특징:
- 세 개의 연속된 긴 상승 캔들로 구성되며, 각각의 캔들은 전일 대비 높은 개장 가격에서 시작하고 전일 대비 높은 종가에서 마감합니다.
발생 이유:
- 매도세가 소진되고 강력한 매수세가 시장을 지배하기 시작했음을 나타냅니다.
예상 주가 동향:
- 상승 추세를 시작할 가능성이 높습니다.",
CDL3WHITESOLDIERS_Bear,32,Three White Soldiers,적삼병 ,82,18,g,d+,,
CDLONNECK_Bull,33,On Neck ,걸침형,44,56,g-,d+,"특징:
- 첫 번째 캔들은 긴 몸통을 가진 하락 캔들로 구성됩니다. 두 번째 캔들은 첫 번째 캔들의 저점 근처에서 시작하여 첫 번째 캔들의 종가 근처에서 마감하는 작은 상승 캔들입니다.
발생 이유:
- 하락 추세 중에 나타내며, 첫 번째 긴 하락 캔들 이후의 작은 상승 캔들은 하락 추세의 지속성을 나타냅니다.
예상 주가 동향:
- 하락 추세를 계속 따를 가능성이 높습니다.",
CDLONNECK_Bear,33,On Neck ,걸침형,44,56,g-,d+,,
CDL3OUTSIDE_Bull,34,Three Outside Up,상승장악확인형 ,75,25,c,d,"특징:
- 첫 번째 캔들은 하락 캔들로 구성됩니다. 두 번째 캔들은 몸통이 첫 번째 캔들을 완전히 감싸는 상승 캔들입니다. 세 번째 캔들은 두 번째 캔들의 종가보다 높게 마감하는 상승 캔들입니다.
발생 이유:
- 시장의 하락 추세가 끝나가고 강력한 매수세가 시장을 지배하기 시작했음을 나타냅니다.
예상 주가 동향:
- 상승 추세를 시작할 가능성이 높습니다.",
CDL3OUTSIDE_Bear,39,Three Outside Down,하락장악확인형 ,31,69,c+,d-,"특징:
- 첫 번째 캔들은 상승 캔들로 구성됩니다. 두 번째 캔들은 몸통이 첫 번째 캔들을 완전히 감싸는 하락 캔들입니다. 세 번째 캔들은 두 번째 캔들의 종가보다 낮게 마감하는 하락 캔들입니다.
발생 이유:
- 시장의 상승 추세가 끝나가고 강력한 매도세가 시장을 지배하기 시작했음을 나타냅니다.
예상 주가 동향:
- 하락 추세를 시작할 가능성이 높습니다.",
CDLRICKSHAWMAN_Bull,35,Rickshaw Man,중심선 십자캔들,51,49,f,d,"특징:
- 위 아래로 매우 긴 꼬리를 가지며, 매우 작은 몸통이 중간에 위치하는 캔들로 구성됩니다.
발생 이유:
- 당일 거래에서 매수세와 매도세가 거의 균형을 이루었음을 보여주며 시장 참여자들 사이에 큰 불확실성이 있음을 보여줍니다.
예상 주가 동향:
- 명확한 추세 변화를 예상하기보다는, 시장의 불확실성이나 변동성을 나타냅니다.",
CDLRICKSHAWMAN_Bear,35,Rickshaw Man,중심선 십자캔들,51,49,f,d,,
CDLSEPARATINGLINES_Bull,36,Bullish Separating Lines,상승형 이별 패턴,72,28,h,d,"특징:
- 첫 번째 캔들은 상승 추세 내에서 나타나는 긴 하락 캔들로 구성됩니다. 두 번째 캔들은 첫 번째 캔들의 시가에서 시작하지만, 상승하여 새로운 고점을 만듭니다.
발생 이유:
- 상승 추세 내에서 매도 압력이 일시적으로 가격을 하락시켯지만, 이 하락이 즉각적으로 매수세에 의해 거부되어 가격이 더 상승한다는 것을 나타냅니다.
예상 주가 동향:
- 강세 시장의 지속적인 압력을 반영하며, 상승 추세의 지속이 예상됩니다.",
CDLSEPARATINGLINES_Bear,40,Bearlish Separating Lines,하락형 이별 패턴,37,63,i+,d-,"특징:
- 첫 번째 캔들은 상승 추세 내에서 나타나는 긴 상승 캔들로 구성됩니다. 두 번째 캔들은 첫 번째 캔들의 시가에서 시작하지만, 하락하는 캔들입니다.
발생 이유:
- 상승 추세 중 또는 상승 추세가 끝나가는 시점에서 나타나며, 매도세가 강하게 나타나 하락 추세로의 전환을 예고하거나 기존 하락 추세의 지속을 나타냅니다.
예상 주가 동향:
- 시장은 하락 추세를 지속하거나 새로운 하락 추세를 시작할 가능성이 높습니다.",
CDLLONGLEGGEDDOJI_Bull,37,Long Legged Doji,긴꼬리 십자캔들,51,49,e+,d,"특징:
- 위 아래로 매우 긴 꼬리를 가지며, 매우 작은 몸통을 갖는 캔들로 구성됩니다.
발생 이유:
- 매수세와 매도세가 균형을 이루고 있지만, 아직 명확한 방향성이 결정되지 않았음을 나타냅니다.
예상 주가 동향:
- 주가 동향은 패턴 단독으로는 예측하기 어렵습니다.",
CDLLONGLEGGEDDOJI_Bear,37,Long Legged Doji,긴꼬리 십자캔들,51,49,e+,d,,
